Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,394.000000,398.000000,390.450012,394.500000,394.500000,434723
2022-10-04,398.750000,406.350006,398.750000,405.600006,405.600006,173737
2022-10-06,408.600006,412.950012,407.350006,410.200012,410.200012,541574
2022-10-07,409.799988,411.799988,406.149994,408.100006,408.100006,364721
2022-10-10,399.950012,413.399994,399.649994,411.250000,411.250000,223882
2022-10-11,415.100006,417.899994,402.500000,404.299988,404.299988,2084417
2022-10-12,404.000000,409.500000,401.700012,407.750000,407.750000,282900
2022-10-13,390.000000,392.250000,378.100006,379.100006,379.100006,1824883
2022-10-14,385.299988,387.000000,376.299988,377.299988,377.299988,656828
2022-10-17,377.299988,379.149994,372.399994,375.049988,375.049988,282308
2022-10-18,381.450012,384.399994,378.399994,379.299988,379.299988,335997
2022-10-19,381.799988,381.799988,377.000000,378.000000,378.000000,401520
2022-10-20,376.350006,382.500000,376.000000,381.450012,381.450012,213603
2022-10-21,382.000000,383.799988,379.549988,382.600006,382.600006,227125
2022-10-24,385.000000,386.549988,384.000000,384.750000,384.750000,238840
2022-10-25,386.000000,386.299988,383.700012,384.500000,384.500000,1433343
2022-10-27,385.000000,386.950012,381.149994,382.600006,382.600006,163873
2022-10-28,382.600006,386.000000,382.200012,383.399994,383.399994,105745
2022-10-31,385.600006,388.200012,384.600006,386.399994,386.399994,432689
2022-11-01,388.000000,393.200012,386.649994,392.450012,392.450012,156961
2022-11-02,392.899994,394.850006,390.600006,393.899994,393.899994,365428
2022-11-03,390.500000,393.799988,385.600006,388.649994,388.649994,199219
2022-11-04,386.450012,392.350006,385.700012,390.649994,390.649994,131635
2022-11-07,392.000000,394.750000,387.649994,391.450012,391.450012,435712
2022-11-09,393.000000,394.000000,389.399994,390.950012,390.950012,139005
2022-11-10,387.549988,391.200012,387.000000,388.850006,388.850006,81932
2022-11-11,395.850006,405.799988,395.850006,399.750000,399.750000,500524
2022-11-14,402.000000,402.299988,395.600006,396.549988,396.549988,472218
2022-11-15,396.600006,399.450012,394.100006,397.149994,397.149994,283865
2022-11-16,398.000000,401.600006,396.250000,398.149994,398.149994,818602
2022-11-17,398.149994,398.149994,395.000000,396.700012,396.700012,684422
2022-11-18,397.000000,398.799988,392.799988,394.000000,394.000000,120561
2022-11-21,393.049988,394.000000,387.600006,388.500000,388.500000,451453
2022-11-22,388.500000,389.149994,384.750000,388.850006,388.850006,5051053
2022-11-23,390.250000,392.850006,388.000000,388.600006,388.600006,1201593
2022-11-24,389.200012,399.600006,389.149994,398.049988,398.049988,164376
2022-11-25,397.049988,404.200012,396.000000,402.649994,402.649994,715995
2022-11-28,402.200012,409.450012,402.000000,405.700012,405.700012,497637
2022-11-29,403.549988,408.850006,402.799988,405.200012,405.200012,2396202
2022-11-30,407.000000,408.000000,402.600006,406.950012,406.950012,622575
